"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","EVAP","HDSD","HN01","HN02","HN03","HN04","HTDD","HX01","HX02","HX03","HX04","LN01","LN02","LN03","LN04","LX01","LX02","LX03","LX04","MN01","MN02","MN03","MN04","MNPN","MX01","MX02","MX03","MX04","MXPN","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WDMV","WSF2","WSF5"
"US1KSTH0013","COLBY 1.6 NNW, KS US","39.409841","-101.054765","958.9","2014-06",,,,"16","8",,,,,,,,,,,"1.80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.72",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2013-01",,,,"3","1",,"1",,,,,,,,"1.5","0.22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.31","1.8",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2013-02",,,,"5","4",,"2",,,,,,,,"3.1","0.34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.92","4.9",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2013-03",,,,"4","3",,"1",,,,,,,,"8.1","0.24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.69","8.4",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2013-04",,,,"5","3",,"1",,,,,,,,"2.1","0.29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.76","2.1",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2013-05",,,,"11","2",,,,,,,,,,,"0.56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.32",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2013-06",,,,"8","5",,,,,,,,,,,"0.86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.74",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2013-07",,,,"7","4",,,,,,,,,,,"1.11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.30",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2013-08",,,,"8","2",,,,,,,,,,,"0.65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.38",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2013-09",,,,"7","4",,,,,,,,,,,"2.47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.04",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2013-10",,,,"6","4",,"2",,,,,,,,"2.1","0.49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.45","4.1",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2013-11",,,,"1","1",,"0",,,,,,,,"0.0","0.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.31","0.0",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2013-12",,,,"1","0",,"1",,,,,,,,"1.0","0.02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.02","1.0",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2014-01",,,,"2","1",,"2",,,,,,,,"3.1","0.19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.21","4.1",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2014-02",,,,"4","3",,"2",,,,,,,,"1.9","0.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.63","3.7",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2014-03",,,,"4","1",,"0",,,,,,,,"0.3","0.13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.19","0.3",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2014-04",,,,"5","3",,"0",,,,,,,,"0.5","0.47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.76","0.5",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2014-05",,,,"8","6",,,,,,,,,,,"1.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.42",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2014-06",,,,"16","8",,,,,,,,,,,"2.26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.06",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2014-07",,,,"9","6",,,,,,,,,,,"0.58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.82",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2014-08",,,,"10","7",,,,,,,,,,,"1.22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.89",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2014-09",,,,"12","5",,,,,,,,,,,"0.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.33",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2014-10",,,,"5","2",,,,,,,,,,,"0.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.50",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2014-11",,,,"2","0",,"0",,,,,,,,"0.1","0.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.08","0.1",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2014-12",,,,"6","2",,"0",,,,,,,,"0.0","1.11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.47","0.0",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2015-01",,,,"5","0",,"0",,,,,,,,"0.2","0.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.19","0.2",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2015-02",,,,"3","1",,"0",,,,,,,,"0.5","0.35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.47","1.3",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2015-03",,,,"4","0",,"0",,,,,,,,"0.5","0.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.17","0.6",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2015-04",,,,"7","4",,,,,,,,,,,"0.82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.29",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2015-05",,,,"17","12",,,,,,,,,,,"1.40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.68",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2015-06",,,,"10","6",,,,,,,,,,,"0.68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.39",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2015-07",,,,"9","7",,,,,,,,,,,"2.68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7.03",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2015-08",,,,"4","3",,"0",,,,,,,,"0.0","0.35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.97","0.0",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2015-09",,,,"6","3",,"0",,,,,,,,"0.0","0.76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.28","0.0",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2015-10",,,,"5","5",,,,,,,,,,,"0.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.43",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2015-11",,,,"8","3",,,,,,,,,,,"2.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.38",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2015-12",,,,"2","1",,"0",,,,,,,,"0.0","0.12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.15","0.0",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2016-01",,,,"1","0",,"0",,,,,,,,"0.0","0.01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.01","0.0",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2016-02",,,,"2","2",,"0",,,,,,,,"0.0","0.60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.74","0.0",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2016-03",,,,"4","1",,"0",,,,,,,,"0.4","0.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.30","0.4",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2016-04",,,,"9","6",,,,,,,,,,,"1.58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.87",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2016-05",,,,"12","6",,,,,,,,,,,"0.52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.94",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2016-06",,,,"6","4",,,,,,,,,,,"0.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.23",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2016-07",,,,"15","11",,,,,,,,,,,"1.36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.31",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2016-08",,,,"10","5",,,,,,,,,,,"0.26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.11",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2016-09",,,,"9","5",,,,,,,,,,,"0.58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.48",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2016-10",,,,"1","0",,"0",,,,,,,,"0.0","0.03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.03","0.0",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2016-11",,,,"3","1",,"0",,,,,,,,"0.5","0.14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.28","0.5",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2016-12",,,,"4","2",,"0",,,,,,,,"0.7","0.26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.50","0.7",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2017-01",,,,"3","2",,"1",,,,,,,,"2.8","0.55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.80","2.8",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2017-02",,,,"0","0",,"0",,,,,,,,"0.0","0.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00","0.0",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2017-03",,,,"7","5",,,,,,,,,,,"1.02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.05",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2017-04",,,,"8","8",,,,,,,,,,,"1.01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.60",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2017-05",,,,"14","10",,,,,,,,,,,"2.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9.54",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2017-06",,,,"10","7",,,,,,,,,,,"0.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.03",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2017-07",,,,"10","6",,,,,,,,,,,"2.64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.71",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2017-08",,,,"10","6",,,,,,,,,,,"0.91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.30",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2017-09",,,,"6","4",,,,,,,,,,,"1.41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.02",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2017-10",,,,"4","3",,"0",,,,,,,,"0.0","0.49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.20","0.0",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2017-11",,,,"2","0",,"0",,,,,,,,"0.0","0.03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.05","0.0",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2017-12",,,,"2","0",,"1",,,,,,,,"1.0","0.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.07","1.0",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2018-01",,,,"2","2",,"0",,,,,,,,"0.0","0.72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.94","0.0",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2018-02",,,,"3","2",,,,,,,,,,,"0.26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.56",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2018-03",,,,"4","2",,"0",,,,,,,,"0.0","0.52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.65","0.0",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2018-04",,,,"5","3",,"0",,,,,,,,"0.7","0.52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.09","0.9",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2018-05",,,,"10","5",,,,,,,,,,,"2.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.84",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2018-06",,,,"7","7",,,,,,,,,,,"0.94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.95",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2018-07",,,,"9","5",,,,,,,,,,,"1.08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.24",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2018-08",,,,"9","5",,,,,,,,,,,"1.27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.30",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2018-09",,,,"7","4",,,,,,,,,,,"0.74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.55",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2018-10",,,,"9","6",,,,,,,,,,,"1.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.73",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2018-11",,,,"4","3",,"0",,,,,,,,"0.2","0.41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.70","0.2",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2018-12",,,,"5","3",,"0",,,,,,,,"0.0","0.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.40","0.0",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2019-01",,,,"2","2",,"1",,,,,,,,"3.2","0.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.47","3.2",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2019-02",,,,"7","2",,"2",,,,,,,,"1.1","0.48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.76","2.3",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2019-03",,,,"8","5",,,,,,,,,,,"0.81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.37",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2019-04",,,,"3","1",,"0",,,,,,,,"0.0","0.51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.55","0.0",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2019-05",,,,"12","8",,,,,,,,,,,"3.59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8.40",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2019-06",,,,"12","6",,,,,,,,,,,"0.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.97",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2019-07",,,,"4","3",,"0",,,,,,,,"0.0","0.56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.29","0.0",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2019-08",,,,"15","9",,,,,,,,,,,"2.74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10.07",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2019-09",,,,"4","3",,"0",,,,,,,,"0.0","0.34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.94","0.0",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2019-10",,,,"4","1",,"0",,,,,,,,"0.3","0.53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.63","0.3",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2019-11",,,,"4","2",,"0",,,,,,,,"0.5","0.42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.80","0.5",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2019-12",,,,"3","1",,"0",,,,,,,,"0.2","0.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.49","0.3",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2020-01",,,,"2","1",,"1",,,,,,,,"3.1","0.24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.27","3.1",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2020-02",,,,"5","3",,"2",,,,,,,,"1.2","0.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.52","2.3",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2020-03",,,,"8","4",,,,,,,,,,,"0.58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.49",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2020-04",,,,"4","0",,"0",,,,,,,,"0.0","0.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.15","0.0",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2020-05",,,,"7","4",,,,,,,,,,,"1.13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.35",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2020-06",,,,"8","5",,,,,,,,,,,"0.62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.07",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2020-07",,,,"10","5",,,,,,,,,,,"2.49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.44",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2020-08",,,,"6","3",,,,,,,,,,,"0.93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.19",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2020-09",,,,"4","2",,"0",,,,,,,,"0.0","0.56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.72","0.0",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2020-10",,,,"3","1",,"0",,,,,,,,"0.0","0.30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.36","0.0",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2020-11",,,,"0","0",,"0",,,,,,,,"0.0","0.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00","0.0",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2020-12",,,,"5","3",,,,,,,,,,,"0.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.80",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2021-01",,,,"0","0",,"0",,,,,,,,"0.0","0.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.61","0.0",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2021-02",,,,"2","1",,,,,,,,,,,"0.18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.19",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2021-03",,,,"3","3",,,,,,,,,,,"0.69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.27",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2021-04",,,,"6","3",,,,,,,,,,,"0.32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.60",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2021-05",,,,"17","13",,,,,,,,,,,"1.56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7.28",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2021-06",,,,"6","4",,,,,,,,,,,"1.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.61",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2021-07",,,,"2","2",,"0",,,,,,,,"0.0","1.30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.99","0.0",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2021-08",,,,"4","4",,"0",,,,,,,,"0.0","1.08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.58","0.0",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2021-09",,,,"4","3",,"0",,,,,,,,"0.0","1.02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.67","0.0",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2021-10",,,,"1","1",,"0",,,,,,,,"0.0","0.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.28","0.0",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2021-11",,,,"1","0",,"0",,,,,,,,"0.0","0.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.09","0.0",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2021-12",,,,"2","0",,"0",,,,,,,,"0.0","0.05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.09","0.0",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2022-01",,,,"3","1",,"2",,,,,,,,"3.0","0.30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.42","4.5",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2022-02",,,,"1","1",,"0",,,,,,,,"0.0","0.11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.11","0.0",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2022-03",,,,"5","3",,"0",,,,,,,,"0.3","0.35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.82","0.3",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2022-04",,,,"2","2",,"0",,,,,,,,"0.0","0.29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.44","0.0",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2022-05",,,,"10","4",,,,,,,,,,,"1.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.80",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2022-06",,,,"6","4",,,,,,,,,,,"0.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.67",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2022-07",,,,"10","7",,,,,,,,,,,"0.96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.97",,,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2022-08",,,,"4","1",,"0",,,,,,,,"0.0","1.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.15","0.0",,,,,,,,
"US1KSTH0017","COLBY 1.3 NE, KS US","39.400323","-101.028","954.0","2022-09",,,,"6","2",,,,,,,,,,,"0.78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.41",,,,,,,,,
